"provider_name","provider_id","provided_name","provided_id","share_provided","negligible_market_share","group","share"
"Renesas","P311","Fabrication","S2",NA,"negligible","small",0.01
"KLA","P118","Film and wafer measuring tools","N65",NA,"","N65",0.25
"Bruker","P135","Film and wafer measuring tools","N65",NA,"","N65",0.25
"Rigaku","P136","Film and wafer measuring tools","N65",NA,"","N65",0.25
"Screen","P106","Film and wafer measuring tools","N65",NA,"","N65",0.25
"KLA","P118","Critical dimensions measurement tools","N66",NA,"","N66",0.166666666666667
"Hitachi","P97","Critical dimensions measurement tools","N66",NA,"","N66",0.166666666666667
"ASML","P88","Critical dimensions measurement tools","N66",NA,"","N66",0.166666666666667
"Onto Innovation","P139","Critical dimensions measurement tools","N66",NA,"","N66",0.166666666666667
"Applied Materials","P81","Critical dimensions measurement tools","N66",NA,"","N66",0.166666666666667
"RSIC","P137","Critical dimensions measurement tools","N66",NA,"","N66",0.166666666666667
"KLA","P118","Defect inspection tools","N67",NA,"","N67",0.166666666666667
"Applied Materials","P81","Defect inspection tools","N67",NA,"","N67",0.166666666666667
"Hitachi","P97","Defect inspection tools","N67",NA,"","N67",0.166666666666667
"ASML","P88","Defect inspection tools","N67",NA,"","N67",0.166666666666667
"RSIC","P137","Defect inspection tools","N67",NA,"","N67",0.166666666666667
"SMEE","P70","Defect inspection tools","N67",NA,"","N67",0.166666666666667
"Thermo Fisher","P96","General-purpose microscopy tools","N68",NA,"","N68",0.2
"Hitachi","P97","General-purpose microscopy tools","N68",NA,"","N68",0.2
"Zeiss","P98","General-purpose microscopy tools","N68",NA,"","N68",0.2
"PVA TePla","P58","General-purpose microscopy tools","N68",NA,"","N68",0.2
"Nanotronics","P138","General-purpose microscopy tools","N68",NA,"","N68",0.2
